id,name,abbreviation
1,Buffalo,BUF
2,Charlotte,CLT
3,Utah State,USU
4,Kent State,KENT
5,Boise State,BSU
6,Washington,WA
7,Appalachian State,APP
8,University of Alabama Birmingham,UAB
9,Central Michigan,CMU
10,San Diego State,SDSU
11,Liberty,LIB
12,Georgia Southern,GSU
13,Southern Methodist University,SMU
14,Florida Atlantic,FAU
15,Florida International,FIU
16,Arkansas State,ARST
17,University of Central Florida,UCF
18,Marshall,MRSH
19,Brigham Young University,BYU
20,Hawai’i,HI
21,Louisiana Tech,LAT
22,Miami (FL),MIA
23,Pittsburgh,PITT
24,Eastern Michigan,EMU
25,University of Southern California,USC
26,Iowa,IA
27,Oklahoma State,OKST
28,Texas A&M,TAM
29,North Carolina,UNC
30,Temple,TEM
31,Michigan State,MSU
32,Wake Forest,WFU
33,Air Force,AFA
34,Washington State,WSU
35,Oklahoma,OK
36,Louisiana State University,LSU
37,Clemson,CLEM
38,The Ohio State University,OSU
39,Memphis,MEM
40,Penn State,PSU
41,Notre Dame,ND
42,Iowa State,ISU
43,Florida,FLA
44,Virginia,UVA
45,Western Kentucky,WKU
46,Western Michigan,WMU
47,Mississippi State,MSST
48,Louisville,LOU
49,California,CAL
50,Illinois,IL
51,Utah,UT
52,Texas,TX
53,Navy,NAVY
54,Kansas State,KSU
55,Virginia Tech,VT
56,Kentucky,UK
57,Florida State,FSU
58,Arizona State,ASU
59,Wyoming,WY
60,Georgia State,GAST
61,Georgia,UGA
62,Baylor,BAY
63,Oregon,ORE
64,Wisconsin,WIS
65,Minnesota,MN
66,Auburn,AUB
67,Michigan,MICH
68,Alabama,ALA
69,Boston College,BC
70,Cincinnati,CIN
71,Indiana,IND
72,Tennessee,TENN
73,Ohio,OHIO
74,Nevada,NEV
75,Southern Mississippi,USM
76,Tulane,TULN
77,Louisiana,UL
78,Miami (OH),M-OH
